,genre_ids,ids,popularity,release_date,release_year,title,vote_average
220,18,397514,1.43696,2016-08-29,2016,The Windmill Massacre,5.3
221,18,413452,1.432866,2016-09-16,2016,Cardboard Boxer,6.5
222,18,378064,1.42955,2016-09-17,2016,A Silent Voice,9.3
223,18,382509,1.425325,2016-09-21,2016,Cezanne and I,6.1
224,18,351065,1.424873,2016-03-31,2016,Zoom,5.4
225,18,336455,1.424461,2016-02-18,2016,Viral,5.6
226,18,372518,1.424191,2016-06-16,2016,Stronger Than The World: The Story Of José Aldo,6.3
227,18,322548,1.421744,2016-11-01,2016,Shangri-La Suite,5.4
228,18,393764,1.421116,2016-06-08,2016,The African Doctor,6.6
229,18,383807,1.420719,2016-11-01,2016,Heal the Living,6.4
230,18,381015,1.42037,2016-03-11,2016,The Other Half,7.4
231,18,416249,1.415381,2016-09-08,2016,Cold War II,6.5
232,18,414937,1.414729,2016-12-05,2016,Maigret's Dead Man,6.9
233,18,382951,1.413303,2016-02-15,2016,A Sunday Horse,6.5
234,18,371741,1.412157,2016-01-27,2016,Ali and Nino,7.2
235,18,408024,1.412104,2016-08-17,2016,Moka,6.3
236,18,413543,1.406086,2016-11-24,2016,Dear Zindagi,6.9
237,18,400387,1.405711,2016-09-22,2016,Riphagen,5.5
238,18,325373,1.405633,2016-10-07,2016,Two Lovers and a Bear,8.3
239,18,360814,1.405148,2016-12-23,2016,Dangal,8.4
240,18,381075,1.405,2016-03-12,2016,Teenage Cocktail,5.2
241,18,318850,1.404292,2016-03-10,2016,The Young Messiah,6.3
242,18,352492,1.402078,2016-08-26,2016,XOXO,5.9
243,18,377154,1.399254,2016-02-27,2016,Being 17,7.2
244,18,325346,1.3975,2016-08-25,2016,The Hollars,6.6
245,18,390512,1.395365,2016-06-24,2016,The Phenom,6.0
246,18,347126,1.393544,2016-04-01,2016,God's Not Dead 2,5.5
247,18,423628,1.389444,2016-12-02,2016,Believe,7.2
248,18,375950,1.386195,2016-03-23,2016,The Country Doctor,6.0
249,18,380111,1.383792,2016-04-21,2016,Flight Crew,6.9
250,18,329718,1.383778,2016-04-01,2016,Finding Altamira,5.5
251,18,321030,1.381916,2016-04-08,2016,One More Time,5.0
252,18,418896,1.376019,2016-12-08,2016,O Vendedor de Sonhos,0.0
253,18,368942,1.375167,2016-10-07,2016,A Quiet Passion,9.4
254,18,351454,1.374016,2016-06-17,2016,Neruda,5.7
255,18,364615,1.370256,2016-04-22,2016,Toro,5.8
256,18,375880,1.369339,2016-02-06,2016,Beck 32 - Steinar,6.0
257,18,270007,1.368244,2016-05-05,2016,Take Down,5.7
258,18,409282,1.361311,2016-06-16,2016,Taboo - New Sister,0.0
259,18,369778,1.360849,2016-02-03,2016,Chocolat,6.9
260,18,410123,1.354623,2016-10-27,2016,Nirgendwo,0.0
261,18,336029,1.351762,2016-08-19,2016,A Tale of Love and Darkness,5.4
262,18,385753,1.351743,2016-04-15,2016,Live Cargo,8.0
263,18,376166,1.349563,2016-10-19,2016,From the Land of the Moon,6.6
264,18,413349,1.340957,2016-10-16,2016,Killing Reagan,7.4
265,18,366901,1.339962,2016-01-29,2016,Despite the Falling Snow,4.4
266,18,393729,1.339207,2016-08-31,2016,Divines,8.0
267,18,402100,1.335753,2016-06-17,2016,Late Summer,5.0
268,18,360389,1.334841,2016-04-22,2016,Nina,5.4
269,18,392794,1.332662,2016-09-28,2016,The Dancer,6.2
270,18,431579,1.33236,2016-12-22,2016,"L for Love, L for Lies Too",0.0
271,18,394723,1.329907,2016-05-19,2016,El Hilo Rojo,6.5
272,18,381167,1.329785,2016-02-29,2016,Churchill's Secret,5.9
273,18,376869,1.329656,2016-02-19,2016,Neerja,7.5
274,18,413666,1.328431,2016-08-18,2016,Taekwondo,9.0
275,18,415358,1.32762,2016-09-16,2016,Pink,8.0
276,18,352890,1.320342,2016-08-19,2016,Morris from America,5.4
277,18,430951,1.309409,2016-12-25,2016,Doctor Who: The Return Of Doctor Mysterio,7.4
278,18,394326,1.308507,2016-09-03,2016,Planetarian: Hoshi no Hito,0.0
279,18,412519,1.308091,2016-09-06,2016,Honey 3: Dare to Dance,5.1
280,18,381767,1.306171,2016-02-14,2016,Shelley,5.3
281,18,412840,1.305592,2016-06-27,2016,Die vierte Gewalt,4.0
282,18,378462,1.303472,2016-01-14,2016,The Gigolo 2,4.8
283,18,446406,1.302597,2016-10-15,2016,The Walking Dead: The Journey So Far,8.5
284,18,376812,1.302561,2016-07-06,2016,Sultan,6.9
285,18,413388,1.300933,2016-09-22,2016,The Silence of the Sky,6.2
286,18,393765,1.299065,2016-10-14,2016,Priceless,6.3
287,18,337874,1.297486,2016-09-23,2016,Goat,5.3
288,18,407518,1.295101,2016-08-08,2016,Chosen,3.4
289,18,366505,1.294777,2016-05-06,2016,The Olive Tree,6.6
290,18,374465,1.292525,2016-03-16,2016,Things to Come,6.3
291,18,382498,1.292509,2016-10-20,2016,Heart of Stone,7.0
292,18,422576,1.291992,2016-12-14,2016,Will You Be There,7.0
293,18,408299,1.289644,2016-10-05,2016,Heaven Will Wait,6.8
294,18,369698,1.28565,2016-12-29,2016,Viking,4.6
295,18,353570,1.284771,2016-04-21,2016,The Tiger Hunter,7.5
296,18,371743,1.283903,2016-01-27,2016,Sophie and the Rising Sun,6.0
