,title,id,release_date,popularity,genre_ids
261,The Lego Movie,137106,2014-02-06,3.609862,"[12, 14, 16, 35, 28, 10751]"
262,RoboCop,97020,2014-01-30,3.581213,"[28, 878]"
263,Jack Ryan: Shadow Recruit,137094,2014-01-15,3.537776,"[28, 18, 53]"
264,Transcendence,157353,2014-04-16,3.529968,"[53, 878, 18, 9648]"
265,Before I Go to Sleep,204922,2014-09-03,3.522361,"[9648, 53]"
266,Noah,86834,2014-03-20,3.481158,"[18, 12]"
267,Son of a Gun,294652,2014-10-16,3.433556,"[28, 80, 18, 53]"
268,Rio 2,172385,2014-03-19,3.41151,"[16, 12, 35, 10751]"
269,Boyhood,85350,2014-06-05,3.404028,[18]
270,Annabelle,250546,2014-10-02,3.403546,[27]
271,The Loft,72784,2014-10-14,3.388474,[53]
272,Let's Be Cops,193893,2014-08-13,3.349105,[35]
273,22 Jump Street,187017,2014-06-05,3.338909,"[80, 35, 28]"
274,The Humbling,254023,2014-03-26,3.302179,"[18, 35]"
275,Ride Along,168530,2014-01-17,3.258012,"[28, 35]"
276,The Guest,241848,2014-09-17,3.25669,"[9648, 53, 28]"
277,Chef,212778,2014-05-08,3.227254,[35]
278,Automata,262543,2014-10-09,3.207454,"[53, 878]"
279,Big Eyes,87093,2014-12-24,3.19681,[18]
280,The November Man,254904,2014-08-27,3.18894,"[80, 28, 53]"
281,Miss Julie,230266,2014-09-07,3.045992,[18]
282,Hercules,184315,2014-07-23,3.043944,"[28, 12]"
283,The Prince,241254,2014-08-22,3.002561,"[53, 28]"
284,Counselor week at Camp Liberty,305829,2014-08-20,2.989379,"[10749, 35]"
285,The Water Diviner,256917,2014-12-25,2.976838,"[10752, 18]"
286,Predestination,206487,2014-08-28,2.971932,"[878, 53]"
287,The Angriest Man in Brooklyn,152790,2014-05-23,2.951844,"[18, 35]"
288,Rurouni Kenshin: The Legend Ends,221732,2014-09-13,2.932314,"[28, 12, 18]"
289,The Babadook,242224,2014-05-22,2.927451,"[18, 53, 27]"
290,Sapphire Blue,279229,2014-08-14,2.911794,"[10751, 878, 14, 12]"
291,"I, Frankenstein",100241,2014-01-22,2.900317,"[27, 53]"
292,Step Up All In,243683,2014-07-16,2.886584,"[10749, 18, 10402]"
293,Need for Speed,136797,2014-03-13,2.870723,"[28, 80, 18, 53]"
294,Annie,196867,2014-12-19,2.85506,"[10402, 35, 18, 10751]"
295,"As Above, So Below",256274,2014-08-14,2.846774,"[27, 53]"
296,The Giver,227156,2014-08-11,2.818185,"[18, 878]"
